0,1,2,3,4,5,6,7,8
1911,3009/  110,11,30,108,38.0,137.0,Hoek van Holland,
1912,2708,10,27,97,41.0,148.0,Hoek van Holland,
1913,26/2712,10,28,101,,,Vlissingen,
1914,1208,10,26,94,,,Den Helder,
1914,1111,10,26,94,,,Vlissingen,
1914,28/2912,11,32,115,42.0,151.0,Vlissingen/Hoek van Holland,
1916,1301,10,27,97,42.0,151.0,Hoek van Holland,
1916,2312,10,27,97,,,Vlissingen,
1920,1101,10,28,101,,,Vlissingen,
1921,0611,11,32,115,45.0,162.0,Hoek van Holland,
1922,0803,10,27,97,,,Vlissingen,
1925,9/1002,10,26,94,39.0,140.0,Vlissingen,
1928,16/1711,10,26,94,38.0,137.0,Den Helder,
1928,2311,10,25,90,38.0,137.0,Vlissingen,
1928,2511,10,28,101,37.0,133.0,Vlissingen,
1938,3/410,10,27,97,38.0,137.0,Vlissingen,
1940,13/1411,10,26,94,38.0,137.0,Vlissingen,
1943,0704,10,28,101,35.0,126.0,Den Helder,
1943,1912,10,26,94,,,Vlissingen,
1944,2301,10,26,94,,,Vlissingen,
1944,0709,12,35,122,,,Vlissingen,
1949,0103,11,29,104,39.0,140.0,Den Helder,
1953,3101/  102,11,29,104,40.0,144.0,Leeuwarden/Den Helder,
1953,3003,10,28,90,,,Schiphol,
1954,2112,10,27,101,,,Leeuwarden,
1960,2001,10,27,97,41.0,148.0,Den Helder,
1962,1202,10,25,90,,,Schiphol,
1967,1710,10,27,97,40.0,144.0,IJmuiden,
1971,2111,10,25,90,,,Terschelling,
1972,1311,11,31,112,42.0,151.0,IJmuiden/Terschelling,
1973,0204,11,31,112,43.0,155.0,Terschelling/IJmuiden,
1973,1312,10,26,94,,,Terschelling,
1974,16/1701,10,25,90,32.0,144.0,Vlissingen/Terschelling,
1976,2/301,11,32,114,40.0,144.0,IJmuiden/Vlissingen,
1977,1211,10,26,94,34.0,122.0,IJmuiden/De Kooy,
1977,1411,10,25,90,32.0,114.0,IJmuiden/Hoek van Holland,
1977,2412,10,26,94,37.0,133.0,Houtrib,
1978,0301,10,26,94,37.0,133.0,IJmuiden,
1978,1603,11,29,104,33.0,119.0,Houtrib,
1983,0102,10,27,97,39.0,140.0,IJmuiden/Terschelling,
1983,2711,10,28,101,40.0,144.0,Vlissingen,
1984,13/1401,10,26,94,38.0,137.0,IJmuiden/Terschelling,
1986,1912,10,25,90,32.0,114.0,IJmuiden,
1987,1610,10,27,97,39.0,140.0,IJmuiden,
1990,2501,11,30,108,44.0,158.0,IJmuiden/Schiphol,
1990,2602,10,26,94,40.0,144.0,IJmuiden/Vlissingen,
1993,1301,10,26,94,38.0,137.0,IJmuiden/Terschelling,
1993,8/912,10,25,90,35.0,126.0,Vlissingen,
1994,0104,10,25,90,35.0,126.0,IJmuiden,
1995,0303,10,25,90,31.0,112.0,IJmuiden,
1998,0401,10,26,94,35.0,126.0,IJmuiden,
1999,0312,10,25,90,33.0,119.0,Vlieland,
2000,2805,10,29,90,35.0,126.0,IJmuiden/Vlieland,
2000,2910,10,26,94,35.0,126.0,IJmuiden/Vlieland,
2002,2602,10,25,90,34.0,122.0,Vlieland/Vlissingen,
2002,0903,10,25,90,33.0,119.0,IJmuiden,
2002,2710,10,28,101,41.0,148.0,IJmuiden/Vlissingen,
2007,1801,10,25,90,35.0,126.0,IJmuiden/Vlissingen,
2013,2810,11,29,104,42.0,151.0,Vlieland,
2013,0512,10,25,90,36.0,137.0,Vlieland,
2015,2507,10,25,90,34.0,122.0,IJmuiden,
2016,2011,10,26,94,37.0,133.0,IJmuiden,
2017,1309,10,26,94,35.0,126.0,Vlieland,
2018,0301,10,26,94,34.0,122.0,Vlieland,
2018,1801,11,30,108,40.0,144.0,Hoek van Holland,
2020,0902,10,25,90,36.0,130.0,Vlieland,Ciara
